Date,Sunrise Time,Sunset Time,Daylight,Month
31,06:07:00,20:33:00,14:26:06,7
1,06:08:00,20:32:00,14:23:57,8
2,06:09:00,20:31:00,14:21:47,8
3,06:10:00,20:30:00,14:19:34,8
4,06:11:00,20:28:00,14:17:20,8
5,06:12:00,20:27:00,14:15:04,8
6,06:13:00,20:26:00,14:12:46,8
7,06:14:00,20:25:00,14:10:27,8
8,06:15:00,20:23:00,14:08:07,8
9,06:16:00,20:22:00,14:05:45,8
10,06:17:00,20:21:00,14:03:21,8
11,06:18:00,20:19:00,14:00:57,8
12,06:19:00,20:18:00,13:58:31,8
13,06:20:00,20:16:00,13:56:03,8
14,06:21:00,20:15:00,13:53:35,8
15,06:22:00,20:14:00,13:51:05,8
16,06:23:00,20:12:00,13:48:35,8
17,06:25:00,20:11:00,13:46:03,8
18,06:26:00,20:09:00,13:43:30,8
19,06:27:00,20:08:00,13:40:56,8
20,06:28:00,20:06:00,13:38:22,8
21,06:29:00,20:04:00,13:35:46,8
22,06:30:00,20:03:00,13:33:10,8
23,06:31:00,20:01:00,13:30:33,8
24,06:32:00,20:00:00,13:27:55,8
25,06:33:00,19:58:00,13:25:16,8
26,06:34:00,19:57:00,13:22:37,8
27,06:35:00,19:55:00,13:19:57,8
28,06:36:00,19:53:00,13:17:16,8
29,06:37:00,19:52:00,13:14:35,8
30,06:38:00,19:50:00,13:11:53,8
31,06:39:00,19:48:00,13:09:11,8
1,06:40:00,19:47:00,13:06:28,9
2,06:41:00,19:45:00,13:03:45,9
3,06:42:00,19:43:00,13:01:01,9
4,06:43:00,19:42:00,12:58:17,9
5,06:44:00,19:40:00,12:55:32,9
6,06:45:00,19:38:00,12:52:47,9
7,06:46:00,19:36:00,12:50:02,9
8,06:47:00,19:35:00,12:47:16,9
9,06:48:00,19:33:00,12:44:30,9
10,06:49:00,19:31:00,12:41:44,9
11,06:50:00,19:29:00,12:38:58,9
12,06:52:00,19:28:00,12:36:11,9
13,06:53:00,19:26:00,12:33:24,9
14,06:54:00,19:24:00,12:30:36,9
15,06:55:00,19:22:00,12:27:49,9
16,06:56:00,19:21:00,12:25:01,9
17,06:57:00,19:19:00,12:22:13,9
18,06:58:00,19:17:00,12:19:25,9
19,06:59:00,19:15:00,12:16:37,9
20,07:00:00,19:14:00,12:13:49,9
21,07:01:00,19:12:00,12:11:01,9
22,07:02:00,19:10:00,12:08:13,9
23,07:03:00,19:08:00,12:05:24,9
24,07:04:00,19:07:00,12:02:36,9
25,07:05:00,19:05:00,11:59:48,9
26,07:06:00,19:03:00,11:56:59,9
27,07:07:00,19:01:00,11:54:11,9
28,07:08:00,19:00:00,11:51:23,9
29,07:09:00,18:58:00,11:48:35,9
30,07:10:00,18:56:00,11:45:47,9
1,07:12:00,18:55:00,11:42:59,10
2,07:13:00,18:53:00,11:40:12,10
3,07:14:00,18:51:00,11:37:24,10
4,07:15:00,18:49:00,11:34:37,10
5,07:16:00,18:48:00,11:31:50,10
6,07:17:00,18:46:00,11:29:03,10
7,07:18:00,18:44:00,11:26:16,10
8,07:19:00,18:43:00,11:23:30,10
9,07:20:00,18:41:00,11:20:44,10
10,07:21:00,18:39:00,11:17:58,10
11,07:23:00,18:38:00,11:15:13,10
12,07:24:00,18:36:00,11:12:28,10
13,07:25:00,18:35:00,11:09:43,10
14,07:26:00,18:33:00,11:06:59,10
15,07:27:00,18:31:00,11:04:16,10
16,07:28:00,18:30:00,11:01:32,10
17,07:29:00,18:28:00,10:58:50,10
18,07:31:00,18:27:00,10:56:08,10
19,07:32:00,18:25:00,10:53:26,10
20,07:33:00,18:24:00,10:50:46,10
21,07:34:00,18:22:00,10:48:05,10
22,07:35:00,18:21:00,10:45:26,10
23,07:37:00,18:19:00,10:42:48,10
24,07:38:00,18:18:00,10:40:10,10
25,07:39:00,18:16:00,10:37:33,10
26,07:40:00,18:15:00,10:34:57,10
27,07:41:00,18:14:00,10:32:22,10
28,07:43:00,18:12:00,10:29:49,10
29,07:44:00,18:11:00,10:27:16,10
30,07:45:00,18:10:00,10:24:44,10
31,07:46:00,18:08:00,10:22:14,10
1,06:47:00,17:07:00,10:19:44,11
2,06:49:00,17:06:00,10:17:16,11
3,06:50:00,17:05:00,10:14:50,11
4,06:51:00,17:04:00,10:12:24,11
5,06:52:00,17:02:00,10:10:01,11
6,06:54:00,17:01:00,10:07:38,11
7,06:55:00,17:00:00,10:05:18,11
8,06:56:00,16:59:00,10:02:58,11
9,06:57:00,16:58:00,10:00:41,11
10,06:59:00,16:57:00,09:58:25,11
11,07:00:00,16:56:00,09:56:12,11
12,07:01:00,16:55:00,09:54:00,11
13,07:02:00,16:54:00,09:51:50,11
14,07:03:00,16:53:00,09:49:42,11
15,07:05:00,16:52:00,09:47:37,11
16,07:06:00,16:51:00,09:45:33,11
17,07:07:00,16:51:00,09:43:32,11
18,07:08:00,16:50:00,09:41:33,11
19,07:10:00,16:49:00,09:39:37,11
20,07:11:00,16:48:00,09:37:43,11
21,07:12:00,16:48:00,09:35:52,11
22,07:13:00,16:47:00,09:34:04,11
23,07:14:00,16:47:00,09:32:19,11
24,07:15:00,16:46:00,09:30:36,11
25,07:17:00,16:45:00,09:28:56,11
26,07:18:00,16:45:00,09:27:20,11
27,07:19:00,16:45:00,09:25:46,11
28,07:20:00,16:44:00,09:24:16,11
29,07:21:00,16:44:00,09:22:49,11
30,07:22:00,16:43:00,09:21:25,11
1,07:23:00,16:43:00,09:20:04,12
2,07:24:00,16:43:00,09:18:48,12
3,07:25:00,16:43:00,09:17:34,12
4,07:26:00,16:43:00,09:16:25,12
5,07:27:00,16:42:00,09:15:18,12
6,07:28:00,16:42:00,09:14:16,12
7,07:29:00,16:42:00,09:13:18,12
8,07:30:00,16:42:00,09:12:23,12
9,07:31:00,16:42:00,09:11:32,12
10,07:32:00,16:42:00,09:10:45,12
11,07:32:00,16:43:00,09:10:03,12
12,07:33:00,16:43:00,09:09:24,12
13,07:34:00,16:43:00,09:08:49,12
14,07:35:00,16:43:00,09:08:19,12
15,07:35:00,16:43:00,09:07:53,12
16,07:36:00,16:44:00,09:07:31,12
17,07:37:00,16:44:00,09:07:13,12
18,07:37:00,16:44:00,09:06:59,12
19,07:38:00,16:45:00,09:06:50,12
20,07:39:00,16:45:00,09:06:45,12
21,07:39:00,16:46:00,09:06:45,12
22,07:40:00,16:46:00,09:06:48,12
23,07:40:00,16:47:00,09:06:56,12
24,07:40:00,16:48:00,09:07:08,12
25,07:41:00,16:48:00,09:07:25,12
26,07:41:00,16:49:00,09:07:46,12
27,07:41:00,16:50:00,09:08:11,12
28,07:42:00,16:50:00,09:08:40,12
29,07:42:00,16:51:00,09:09:13,12
30,07:42:00,16:52:00,09:09:51,12
31,07:42:00,16:53:00,09:10:32,12
